date,or_model,aa_slug,provider,variant,or_date,tps_median,throughput_tps,tps_ratio,aa_latency_s,latency_s,lat_ratio
2026-09-07,deepseek/deepseek-v4-flash-20260731,deepseek-v4-flash,Novita,,2026-09-07,127.6,76.0,1.679,1.638,1.534,1.068
2026-09-07,deepseek/deepseek-v4-flash-20260731,deepseek-v4-flash,DeepInfra,,2026-09-07,43.2,23.0,1.878,0.895,0.866,1.033
2026-09-07,deepseek/deepseek-v4-flash-20260731,deepseek-v4-flash,DigitalOcean,,2026-09-07,46.1,24.0,1.921,1.096,0.633,1.731
2026-09-07,deepseek/deepseek-v4-flash-20260731,deepseek-v4-flash,Makora,,2026-09-07,110.0,49.0,2.245,0.835,0.819,1.02
2026-09-07,deepseek/deepseek-v4-flash-20260423,deepseek-v4-flash-0420,DeepInfra,FP4,2026-09-07,35.4,31.0,1.142,1.146,0.692,1.656
2026-09-07,deepseek/deepseek-v4-flash-20260423,deepseek-v4-flash-0420,SiliconFlow,FP8,2026-09-07,97.2,61.0,1.593,1.643,1.409,1.166
2026-09-07,deepseek/deepseek-v4-flash-20260423,deepseek-v4-flash-0420,Parasail,FP8,2026-09-07,74.4,49.0,1.518,1.697,0.799,2.124
2026-09-07,deepseek/deepseek-v4-flash-20260423,deepseek-v4-flash-0420,Novita,,2026-09-07,121.1,45.0,2.691,2.033,1.492,1.363
2026-09-07,tencent/hy3-20260706,hy3,Novita,,2026-09-07,112.3,61.0,1.841,2.302,2.567,0.897
2026-09-07,tencent/hy3-20260706,hy3,DeepInfra,FP8,2026-09-07,92.3,67.0,1.378,1.044,0.675,1.547
2026-09-07,tencent/hy3-20260706,hy3,GMICloud,,2026-09-07,86.5,52.0,1.663,3.214,2.106,1.526
2026-09-07,openai/gpt-5.6-luna-20260709,gpt-5-6-luna,OpenAI,,2026-09-07,122.4,72.0,1.7,135.566,2.24,
2026-09-07,openai/gpt-5.6-luna-20260709,gpt-5-6-luna,Amazon Bedrock,,2026-09-07,231.8,110.0,2.107,75.249,0.651,
2026-09-07,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Z.AI,,2026-09-07,57.6,31.0,1.858,1.504,3.824,0.393
2026-09-07,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,BaseTen,,2026-09-07,175.5,134.0,1.31,0.559,0.573,0.976
2026-09-07,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Novita,,2026-09-07,82.4,29.0,2.841,1.587,4.176,0.38
2026-09-07,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,DeepInfra,,2026-09-07,46.6,40.0,1.165,1.208,1.609,0.751
2026-09-07,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,SiliconFlow,,2026-09-07,63.8,27.0,2.363,1.429,4.325,0.33
2026-09-07,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Wafer,,2026-09-07,27.1,24.0,1.129,0.964,0.758,1.272
2026-09-07,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Together,,2026-09-07,130.8,107.0,1.222,0.819,9.037,0.091
2026-09-07,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Fireworks,,2026-09-07,187.6,74.0,2.535,1.334,1.624,0.821
2026-09-07,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,GMICloud,,2026-09-07,59.4,20.0,2.97,2.84,6.279,0.452
