date,tokens_T,tokens_T_7d,growth_30d_pct
2025-01-01,0.049151682771,,
2025-01-02,0.06240815354,,
2025-01-03,0.061193115505,0.057584317272,
2025-01-04,0.053598360079,0.05658782797375,
2025-01-05,0.058396306085,0.056949523595999994,
2025-01-06,0.069386292686,0.05902231844433333,
2025-01-07,0.075431755847,0.061366523787571424,
2025-01-08,0.070221822873,0.06437654380214285,
2025-01-09,0.072356616201,0.06579775275371429,
2025-01-10,0.071507703702,0.06727126535328572,
2025-01-11,0.063816995783,0.06873107045385714,
2025-01-12,0.075866094246,0.07122675447685714,
2025-01-13,0.085115007863,0.07347371378785714,
2025-01-14,0.075222327281,0.07344379542128572,
2025-01-15,0.084115145855,0.07542855584728571,
2025-01-16,0.07705511659,0.07609977018857142,
2025-01-17,0.068495216858,0.07566941492514287,
2025-01-18,0.060483766614,0.07519323932957143,
2025-01-19,0.067857660985,0.07404917743514286,
2025-01-20,0.075688773433,0.07270257251657143,
2025-01-21,0.08136008041,0.07357939439214287,
2025-01-22,0.081625733261,0.07322376402157142,
2025-01-23,0.077114501415,0.073232247568,
2025-01-24,0.072673110544,0.07382908952314285,
2025-01-25,0.067152928393,0.07478182692014286,
2025-01-26,0.071483471593,0.07529979986414284,
2025-01-27,0.073948446787,0.07505118177185714,
2025-01-28,0.075487441672,0.07421223338071428,
2025-01-29,0.078035168383,0.07369929554099999,
2025-01-30,0.089094205165,0.075410681791,
2025-01-31,0.084790953671,0.07714180223771429,
2025-02-01,0.082720395965,0.07936572617657142,
2025-02-02,0.087631768147,0.08167262568428571,41.831369291927835
2025-02-03,0.088421824989,0.08374025114171428,47.982797962416534
2025-02-04,0.102119870049,0.087544883767,53.72364550060775
2025-02-05,0.105669269279,0.09149261246642858,55.0135861787935
2025-02-06,0.114992702177,0.09519239775385714,55.12105278014212
2025-02-07,0.118370770895,0.09998951450014286,55.31979288520703
2025-02-08,0.105864690395,0.10329584227585713,56.989924355776836
2025-02-09,0.10739488862,0.10611914520057142,57.74810335924248
2025-02-10,0.110479150384,0.10927019168557142,58.98223461968395
2025-02-11,0.124503350714,0.11246783178057142,57.90110416601144
2025-02-12,0.124490739152,0.115156613191,56.73171703759954
2025-02-13,0.123401049224,0.11635780562628571,58.43109000404751
2025-02-14,0.123551521514,0.11709791285757143,55.24347714498261
2025-02-15,0.11536183564,0.11845464789257143,55.65703759557583
2025-02-16,0.118560036919,0.12004966907814286,58.650188054055704
2025-02-17,0.128184132562,0.12257895224642858,63.018581642913276
2025-02-18,0.142100553307,0.12509283833114287,68.93211061082671
2025-02-19,0.13357819511,0.12639104632514284,73.84673189705076
2025-02-20,0.139567174082,0.12870049273342857,74.91377008013507
2025-02-21,0.133191771578,0.130077671314,77.64406549174343
2025-02-22,0.13511639486,0.13289975120257141,81.47708914596265
2025-02-23,0.139667620904,0.1359151203432857,84.09426585259601
2025-02-24,0.149673286419,0.13898499946571427,85.85397708206828
2025-02-25,0.165872108916,0.1423809359812857,89.08541090171789
2025-02-26,0.163891595218,0.146711421711,95.48182753068141
2025-02-27,0.157817685268,0.14931863759471428,101.20488333601085
2025-02-28,0.154373044616,0.152344533743,106.71097684814166
2025-03-01,0.150042042719,0.15447676915142858,104.84733128333134
2025-03-02,0.157225740186,0.156985071906,103.50195011291903
2025-03-03,0.163696491542,0.1589883869235714,100.32373492035708
2025-03-04,0.166790068558,0.1591195240152857,94.82601750846027
2025-03-05,0.173962185656,0.16055817979214287,91.73357806203497
2025-03-06,0.182100870835,0.1640272063017143,87.36355483465074
2025-03-07,0.181200246972,0.16785966378114286,83.4679973126089
2025-03-08,0.180393189127,0.17219554183942856,80.8921152345396
2025-03-09,0.18730107272,0.17649201791571428,76.51052592665818
2025-03-10,0.194916718158,0.1809520502894286,75.17844503962354
2025-03-11,0.204393400391,0.18632395483699998,75.57996201800981
2025-03-12,0.203060022546,0.19048078867842858,74.320906498035
2025-03-13,0.221928492539,0.19617044892185714,74.42360701377476
2025-03-14,0.214068053396,0.20086584983957143,74.42841038266137
2025-03-15,0.190299583462,0.2022810490302857,73.84398746738619
2025-03-16,0.190302450623,0.20270981730214285,73.11138376027498
2025-03-17,0.230930657288,0.20785466574928568,75.47193752818603
2025-03-18,0.230236003769,0.21154646623185713,76.21578456343521
2025-03-19,0.205403798836,0.21188129141614284,72.8529144140373
2025-03-20,0.203790419935,0.209290138187,67.30784989702767
2025-03-21,0.212462970583,0.20906084064228572,65.4079515288398
2025-03-22,0.188084657023,0.20874442257957143,62.19395757243462
2025-03-23,0.198759550985,0.20995257977414286,61.40554920246799
2025-03-24,0.222905959539,0.20880619438142856,57.11556454545752
2025-03-25,0.228382944505,0.20854147162942857,53.435078527472044
2025-03-26,0.244887222843,0.21418196077328572,54.10437212407337
2025-03-27,0.247700609528,0.22045484500085713,54.834524356430215
2025-03-28,0.252577751172,0.22618552794214283,54.170360633335825
2025-03-29,0.218184167792,0.23048545805199996,54.358130883561515
2025-03-30,0.205111873157,0.23139293264799998,51.88791285308072
2025-03-31,0.263186845381,0.23714734491114284,53.516510096527824
2025-04-01,0.279117467876,0.24439513396414284,55.68049305381246
2025-04-02,0.287084138362,0.25042326475257143,57.51041292906156
2025-04-03,0.310210765749,0.2593532870698571,62.992749428374694
2025-04-04,0.282175536516,0.26358154211900003,64.16575129353748
2025-04-05,0.283090401484,0.2728538612178571,66.34671001831566
2025-04-06,0.330016992208,0.2906974496537143,73.17885852120412
2025-04-07,0.371768869788,0.30620916742614285,77.82641998460174
2025-04-08,0.335124133287,0.31421011962771433,78.030781980049
2025-04-09,0.329550655879,0.32027676498728574,76.99537776720989
2025-04-10,0.318345562644,0.32143887882942856,72.51613143926119
2025-04-11,0.290444046062,0.3226200944788572,69.37146087919
2025-04-12,0.274911788714,0.321451721226,63.863478415165176
2025-04-13,0.262977334963,0.3118746273338572,55.26513221781941
2025-04-14,0.272286805249,0.29766290382828575,47.153134342169345
2025-04-15,0.252985364647,0.28592879402257143,41.05325426660964
2025-04-16,0.251118350224,0.27472417892900003,32.171283208226065
2025-04-17,0.248960978027,0.26481209541228573,25.179162823759448
2025-04-18,0.260110794546,0.26047877376714285,22.936183759401718
2025-04-19,0.243572111478,0.25600167701914284,22.319034827339166
2025-04-20,0.249634165943,0.2540955100162857,21.541417912432827
2025-04-21,0.265611051403,0.2531418308954286,21.268787815843694
2025-04-22,0.267828807102,0.25526232267471427,21.580941253169406
2025-04-23,0.258244769365,0.25628038255200003,22.736005658840686
2025-04-24,0.248136852554,0.25616265034157143,22.835351807991522
2025-04-25,0.254213410032,0.2553201668395714,19.207129264182534
2025-04-26,0.232948687662,0.25380253486585713,15.126766601509868
2025-04-27,0.236480346124,0.2519234177488572,11.379105480744101
2025-04-28,0.276156543714,0.2534299166504286,9.954840011317367
2025-04-29,0.264007460755,0.25288401002942856,9.287698260915022
2025-04-30,0.257745468847,0.25281268138400004,6.605739768550589
2025-05-01,0.247853999972,0.2527722738722857,3.4277032329833146
2025-05-02,0.257124033765,0.25318807726271425,1.1040557724836697
2025-05-03,0.240108996884,0.25421097858014285,-1.9827427474744752
2025-05-04,0.259953508223,0.2575642874514285,-2.282881653698987
2025-05-05,0.311745800261,0.26264846695814287,-3.7402418328124187
2025-05-06,0.310263302559,0.26925644435871426,-7.37571152431542
2025-05-07,0.313740594702,0.2772557480522857,-9.455438456407638
2025-05-08,0.314099176805,0.28671934474271427,-8.749169160296933
2025-05-09,0.310235395101,0.29430668207642857,-8.108637825128561
2025-05-10,0.281325208183,0.300194712262,-6.609084328813186
2025-05-11,0.288603619977,0.30428758536971434,-5.682382908837768
2025-05-12,0.322905510657,0.305881829712,-4.843617403763545
2025-05-13,0.342403647632,0.3104733075795715,-0.44932150020193795
2025-05-14,0.326602519998,0.312310725479,4.920942939925177
2025-05-15,0.331569364598,0.31480646659228567,10.099602828889843
2025-05-16,0.298119972316,0.31307569190871426,13.960006406871761
2025-05-17,0.264429024209,0.310661951341,17.314109409289124
2025-05-18,0.269232227294,0.3078946095291429,18.20333959510567
2025-05-19,0.333465897864,0.309403236273,20.859847433680677
2025-05-20,0.332801509438,0.3080315022452857,21.226660882572478
2025-05-21,0.339695778677,0.30990196777085716,22.42226686701807
