timestamp_utc,availability_pct,availability_30d_avg,lowest_price,median_price
2026-07-16,100.0,,0.5,
2026-07-17,100.0,100.0,0.5,3.770065693430657
2026-07-18,100.0,100.0,0.5,3.7919133333333335
2026-07-19,100.0,100.0,0.5,3.970629139072848
2026-07-20,100.0,100.0,0.5,3.9692857142857148
2026-07-21,100.0,100.0,0.5,3.92052027027027
2026-07-22,100.0,100.0,0.5,3.9567210884353745
2026-07-23,100.0,100.0,0.5,3.9108378378378377
2026-07-24,100.0,100.0,0.5,3.8930479452054794
2026-07-25,100.0,100.0,0.5,3.7695850340136055
2026-07-26,100.0,100.0,0.5,3.792020689655172
2026-07-27,100.0,100.0,0.5,3.7673125000000005
2026-07-28,100.0,100.0,0.5,3.923374149659864
2026-07-29,100.0,100.0,0.5,3.925675675675676
2026-07-30,100.0,100.0,0.5,3.9257364864864868
2026-07-31,100.0,100.0,0.5,3.880820689655173
2026-08-01,100.0,100.0,0.5,3.8813401360544217
2026-08-02,100.0,100.0,2.29,3.9439246575342466
2026-08-03,100.0,100.0,0.5,3.933222222222222
2026-08-04,100.0,100.0,0.5,3.9742602739726025
2026-08-05,100.0,100.0,0.5,3.817303448275862
2026-08-06,100.0,100.0,0.5,3.7864489795918366
2026-08-07,100.0,100.0,0.5,3.8287682119205297
2026-08-08,100.0,100.0,0.5,3.8406209150326798
2026-08-09,100.0,100.0,0.5,3.889941935483871
2026-08-10,100.0,100.0,0.5,3.9402818791946306
2026-08-11,100.0,100.0,0.5,3.9689602649006623
2026-08-12,100.0,100.0,0.5,3.902166666666667
2026-08-13,100.0,100.0,0.5,3.7950200000000005
2026-08-14,100.0,100.0,0.5,3.8903020134228186
2026-08-15,100.0,100.0,0.5,3.7964315789473684
2026-08-16,100.0,100.0,0.5,3.7820594594594596
2026-08-17,100.0,100.0,0.5,3.800715976331361
2026-08-18,100.0,100.0,0.5,3.916779005524862
2026-08-19,100.0,100.0,0.5,3.8773444444444447
2026-08-20,100.0,100.0,0.5,3.8892067039106144
2026-08-21,100.0,100.0,0.5,3.9130058139534887
2026-08-22,100.0,100.0,0.5,3.8670106382978724
2026-08-23,100.0,100.0,0.5,3.9168743169398907
2026-08-24,100.0,100.0,0.5,3.952153846153846
2026-08-25,100.0,100.0,0.5,3.95732
2026-08-26,100.0,100.0,0.5,3.9241562500000002
2026-08-27,100.0,100.0,0.5,3.9405374149659864
2026-08-28,100.0,100.0,0.5,3.864489655172414
2026-08-29,100.0,100.0,0.5,3.9414189189189193
2026-08-30,100.0,100.0,0.5,3.9557785234899323
2026-08-31,100.0,100.0,0.5,4.019292517006803
2026-09-01,100.0,100.0,0.5,4.062362416107383
2026-09-02,100.0,100.0,0.5,4.143246666666666
2026-09-03,100.0,100.0,0.5,4.06898
2026-09-04,100.0,100.0,0.5,4.154285714285714
