date,avg_prompt_usd_per_m,avg_completion_usd_per_m
2026-07-22,0.1412992885306137,0.9448472097715743
2026-07-23,0.14134503807058874,0.9335108945276672
2026-07-24,0.1445172636935847,0.9534975948757525
2026-07-25,0.1359114977881828,0.9121735463916398
2026-07-26,0.1253483198730125,0.8191528428974131
2026-07-27,0.13329327613700762,0.8697608575271641
2026-07-28,0.12774956771205487,0.8201775768389344
2026-07-29,0.14297397907132803,0.9209977289789304
2026-07-30,0.14524129621373735,0.9585465796884856
2026-07-31,0.1467082060379002,0.978085123925958
2026-08-01,0.12837869190317272,0.8503407591943541
2026-08-02,0.1191994576356662,0.7617892526828657
2026-08-03,0.13967903924964362,0.9201057439028117
2026-08-04,0.13726355791037975,0.9067939905466691
2026-08-05,0.1418090372250596,0.9288674592471622
2026-08-06,0.14961922479225062,0.9710709001305969
2026-08-07,0.1467526010167815,0.9722137329886439
2026-08-08,0.12974795594026914,0.8362593824257716
2026-08-09,0.12998988853153984,0.8367487182649931
2026-08-10,0.14305240894738064,0.9389858787013782
2026-08-11,0.13136818117986857,0.832470067003157
2026-08-12,0.12853367603480642,0.819332209785117
2026-08-13,0.13067297178298357,0.8408677530044727
2026-08-14,0.12764164444375775,0.8158455649026131
2026-08-15,0.11134124906693166,0.690085522906808
2026-08-16,0.11298379052760313,0.6991394979578711
2026-08-17,0.12177245953577552,0.7688268449764084
2026-08-18,0.1183943519174323,0.7401612108762535
2026-08-19,0.12898664741943255,0.8217741893313433
2026-08-20,0.12465413856143635,0.7912921348126456
2026-08-21,0.01700937863657373,0.1089507105466733
2026-08-22,0.006579978511974892,0.04023345006793503
2026-08-23,0.005633853685937175,0.03436193614169476
2026-08-24,0.0062533360242187416,0.037928998223338097
2026-08-25,0.006667888933897999,0.04126851742000177
2026-08-26,0.010560902358962617,0.06308833678628714
2026-08-27,0.11509790082886984,0.6925570087634998
2026-08-28,0.11339140924200093,0.6796793312336002
2026-08-29,0.11018867771699371,0.6712028457000238
