date,or_model,aa_slug,host,variant,provider,price_1m_input,price_1m_output,cache_hit_price,cache_hit_rate,tps_median,tps_p05,tps_p95,ttft_median,ttft_p05,ttft_p95,ttfat_input_s,reasoning_s,ttfat_total_s,e2e_s,json_mode,function_calling
2026-09-06,deepseek/deepseek-v4-pro-20260423,deepseek-v4-pro-0424,Baseten,,BaseTen,1.74,3.48,0.145,0.6894,126.6,72.2,175.7,0.677,0.53,2.347,0.677,34.559,35.236,39.19,1,1
2026-09-06,deepseek/deepseek-v4-pro-20260423,deepseek-v4-pro-0424,DeepSeek,,DeepSeek,0.435,0.87,0.0036,0.9866,72.5,49.9,87.5,1.931,1.366,2.848,1.931,60.31,62.241,69.13,1,1
2026-09-06,tencent/hy3-20260706,hy3,SiliconFlow,FP8,SiliconFlow,0.132,0.528,0.033,0.9385,94.3,74.0,120.1,2.946,2.727,3.462,2.946,21.207,24.153,29.46,0,1
2026-09-06,tencent/hy3-20260706,hy3,Novita,,Novita,0.14,0.58,0.035,0.9575,113.4,85.3,136.7,2.326,1.906,2.761,2.326,17.635,19.96,24.37,0,1
2026-09-06,tencent/hy3-20260706,hy3,DeepInfra,FP8,DeepInfra,0.14,0.58,0.035,0.9575,87.9,47.2,146.6,1.026,0.861,2.85,1.026,22.744,23.77,29.46,1,1
2026-09-06,tencent/hy3-20260706,hy3,GMI,,GMICloud,0.126,0.522,0.0322,0.9497,94.2,70.7,112.0,3.344,2.586,5.158,3.344,21.221,24.565,29.87,1,1
2026-09-06,openai/gpt-5.6-luna-20260709,gpt-5-6-luna,OpenAI,,OpenAI,0.2,1.2,0.02,0.9934,129.1,100.5,192.2,150.465,30.544,233.49,150.465,0.0,150.465,154.34,1,1
2026-09-06,openai/gpt-5.6-luna-20260709,gpt-5-6-luna,Amazon Bedrock,,Amazon Bedrock,1.1,6.6,0.11,0.9877,233.6,179.1,297.3,97.77,15.915,152.328,97.77,0.0,97.77,99.91,1,1
2026-09-06,openai/gpt-5.6-terra-20260709,gpt-5-6-terra,OpenAI,,OpenAI,2.0,12.0,0.2,0.9934,114.9,68.5,173.4,168.776,43.08,374.866,168.776,0.0,168.776,173.13,1,1
2026-09-06,openai/gpt-5.6-terra-20260709,gpt-5-6-terra,Amazon Bedrock,,Amazon Bedrock,2.75,16.5,0.28,0.9921,146.5,101.1,190.5,168.152,26.555,253.598,168.152,0.0,168.152,171.57,1,1
2026-09-06,openai/gpt-5.6-sol-20260709,gpt-5-6-sol,Amazon Bedrock,,Amazon Bedrock,5.5,33.0,0.55,0.9426,120.5,88.0,164.6,110.452,45.891,285.961,110.452,0.0,110.452,114.6,1,1
2026-09-06,openai/gpt-5.6-sol-20260709,gpt-5-6-sol,OpenAI,,OpenAI,4.0,20.0,0.4,0.9934,85.4,64.4,113.4,162.99,31.828,411.359,162.99,0.0,162.99,168.84,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,Wafer,,Wafer,1.2,4.1,0.2,0.9898,67.9,58.3,69.3,1.432,0.891,3.533,1.432,29.473,30.905,38.27,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,FriendliAI,,FriendliAI,1.4,4.4,0.26,0.994,155.9,74.5,195.0,0.816,0.696,2.457,0.816,12.828,13.644,16.85,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,Makora,NVFP4,Makora,0.72,2.38,0.12,0.9838,,,,,,,,,,,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,Baseten,FAST,BaseTen,2.1,6.6,0.21,0.9782,281.6,166.5,363.2,1.83,0.954,3.821,1.83,7.103,8.934,10.71,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,Novita,FP8,Novita,1.4,4.4,0.26,0.9903,81.1,57.2,96.5,1.787,1.455,2.688,1.787,24.667,26.454,32.62,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,Parasail,NVFP4,Parasail,1.4,4.4,0.26,,185.7,66.2,337.8,1.215,0.916,4.598,1.215,10.77,11.985,14.68,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,CoreWeave,,CoreWeave,0.76,2.42,0.14,0.5665,241.9,165.3,311.2,1.199,1.159,1.365,1.199,8.267,9.467,11.53,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,Multiverse Computing,,Multiverse Computing,1.1,3.5,,,148.4,93.6,187.9,0.777,0.717,1.852,0.777,13.473,14.251,17.62,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,DeepInfra,FP4,DeepInfra,0.75,2.4,0.14,0.8334,67.5,38.3,149.9,1.017,0.766,2.345,1.017,29.625,30.643,38.05,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,Nebius,FP4,Nebius,1.4,4.4,,0.0,286.0,134.5,429.1,1.064,0.983,4.588,1.064,6.994,8.058,9.81,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,Together AI,,Together,1.4,4.4,0.26,0.909,217.5,27.7,328.6,0.763,0.629,3.413,0.763,9.195,9.957,12.26,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,Scaleway,,Scaleway,2.09,6.38,,,91.8,36.7,112.6,1.74,1.471,4.303,1.74,21.783,23.523,28.97,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,Databricks,,Databricks,1.4,4.4,0.26,0.9952,307.5,153.1,427.1,0.743,0.678,1.771,0.743,6.503,7.246,8.87,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,Crusoe,NVFP4,Crusoe,1.4,4.4,0.26,0.93,223.7,152.4,295.7,0.918,0.825,7.575,0.918,8.941,9.858,12.09,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,Bitdeer AI,,Bitdeer AI,0.599,1.88,0.09,0.9944,60.2,31.6,150.2,2.751,2.018,25.438,2.751,33.212,35.962,44.27,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,Fireworks,,Fireworks,1.4,4.4,0.14,0.9998,211.8,111.5,267.8,1.738,0.796,4.286,1.738,9.441,11.179,13.54,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,GMI,FP8,GMICloud,0.923,2.903,0.171,,,,,,,,,,,,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,Baseten,,BaseTen,1.4,4.4,0.14,0.9973,129.0,92.2,157.3,2.195,0.819,3.652,2.195,15.501,17.696,21.57,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,Modular,,Modular,1.4,4.4,0.26,0.9889,140.1,48.2,203.6,17.118,10.686,110.034,17.118,14.276,31.394,34.96,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,Zai,,Z.AI,1.4,4.4,0.26,0.95,76.1,56.4,95.8,1.673,1.45,3.133,1.673,26.284,27.957,34.53,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,Mistral,,Mistral,1.4,4.4,0.14,0.95,254.4,176.0,323.0,1.096,0.961,2.694,1.096,7.862,8.958,10.92,1,1
2026-09-06,z-ai/glm-5.2-20260616,glm-5-2,SiliconFlow,FP8,SiliconFlow,1.302,4.092,0.26,0.9897,101.4,78.9,120.2,1.89,1.728,2.909,1.89,19.728,21.618,26.55,0,1
2026-09-06,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Zai,,Z.AI,0.15,0.5,0.026,0.9953,48.5,38.1,112.5,1.504,1.284,4.031,1.504,41.255,42.759,53.07,1,1
2026-09-06,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Baseten,,BaseTen,0.15,0.5,0.03,0.9782,197.0,108.4,221.9,0.538,0.389,0.738,0.538,10.152,10.69,13.23,1,1
2026-09-06,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Novita,,Novita,0.075,0.25,0.015,0.9903,67.8,43.3,123.0,1.7,1.132,5.834,1.7,29.496,31.196,38.57,1,1
2026-09-06,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,DeepInfra,,DeepInfra,0.15,0.5,0.03,0.8334,48.6,29.8,84.5,1.285,0.794,11.545,1.285,41.112,42.397,52.67,1,1
2026-09-06,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,SiliconFlow,,SiliconFlow,0.15,0.5,0.03,0.9897,57.8,43.5,97.7,1.472,1.199,3.183,1.472,34.602,36.074,44.72,1,1
2026-09-06,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Wafer,,Wafer,0.15,0.5,0.03,0.9898,31.5,19.7,43.9,2.137,0.948,4.628,2.137,63.565,65.702,81.59,1,1
2026-09-06,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Together AI,,Together,0.15,0.5,0.03,0.909,108.5,56.0,269.2,0.785,0.537,4.635,0.785,18.427,19.212,23.82,1,1
2026-09-06,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Fireworks,,Fireworks,0.15,0.5,0.029,0.9731,189.0,174.6,206.1,1.356,1.295,3.206,1.356,10.58,11.936,14.58,1,1
2026-09-06,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Databricks,,Databricks,0.15,0.5,0.03,0.9952,267.5,229.3,309.8,0.635,0.516,1.76,0.635,7.478,8.113,9.98,1,1
2026-09-06,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,GMI,,GMICloud,0.075,0.25,0.015,0.8448,49.3,34.2,126.6,3.173,1.554,9.513,3.173,40.563,43.737,53.88,1,1
2026-09-06,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Parasail,,Parasail,0.15,0.5,0.03,1.0,89.2,53.4,153.0,1.372,0.798,10.464,1.372,22.432,23.804,29.41,1,1
2026-09-06,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Bitdeer AI,,Bitdeer AI,0.075,0.25,0.015,0.9944,81.3,21.4,104.2,2.257,1.197,8.177,2.257,24.614,26.871,33.02,1,1
2026-09-06,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,FriendliAI,,FriendliAI,0.15,0.5,0.03,0.994,234.7,151.4,300.4,1.279,1.077,2.315,1.279,8.521,9.8,11.93,1,1
