timestamp_utc,cost_low,cost_high,cost_mid
2026-07-20,0.35993265993265994,1.0797979797979798,0.5398989898989899
2026-07-21,0.35993265993265994,1.0797979797979798,0.5398989898989899
2026-07-22,0.35993265993265994,1.0797979797979798,0.5398989898989899
2026-07-23,0.44839506172839505,1.3451851851851853,0.6725925925925926
2026-07-24,0.44545454545454544,1.3363636363636364,0.6681818181818182
2026-07-25,0.42962962962962964,1.288888888888889,0.6444444444444445
2026-07-26,0.3151515151515151,0.9454545454545454,0.4727272727272727
2026-07-27,0.33015873015873015,0.9904761904761905,0.49523809523809526
2026-07-28,0.4708994708994709,1.4126984126984128,0.7063492063492064
2026-07-29,0.4705467372134039,1.4116402116402116,0.7058201058201058
2026-07-30,0.544074074074074,1.6322222222222222,0.8161111111111111
2026-07-31,0.505770887166236,1.517312661498708,0.758656330749354
2026-08-01,0.4674546887312845,1.4023640661938535,0.7011820330969267
