timestamp_utc,availability_pct,availability_30d_avg,lowest_price,median_price
2026-08-11,100.0,,0.576,1.0276618705035971
2026-08-12,100.0,100.0,0.667,1.0493666666666668
2026-08-13,100.0,100.0,0.616,1.0607
2026-08-14,100.0,100.0,0.616,1.0706711409395973
2026-08-15,100.0,100.0,0.616,1.1566526315789474
2026-08-16,100.0,100.0,0.616,1.1115837837837839
2026-08-17,100.0,100.0,0.616,1.1079112426035502
2026-08-18,100.0,100.0,0.616,1.1112486187845303
2026-08-19,100.0,100.0,0.616,1.0684
2026-08-20,100.0,100.0,0.616,1.1048156424581006
2026-08-21,100.0,100.0,0.602,1.066156976744186
2026-08-22,100.0,100.0,0.602,1.1018351063829788
2026-08-23,100.0,100.0,0.602,1.1347049180327868
2026-08-24,100.0,100.0,0.602,1.105603550295858
2026-08-25,100.0,100.0,0.602,1.07888
2026-08-26,100.0,100.0,0.602,1.0762611940298508
