timestamp_utc,availability_pct,availability_30d_avg,lowest_price,median_price
2026-07-16,42.857142857142854,,5.002,
2026-07-17,100.0,71.42857142857143,5.127,6.536408759124088
2026-07-18,100.0,80.95238095238095,5.001,7.569573333333333
2026-07-19,100.0,85.71428571428572,4.376,6.993913907284769
2026-07-20,100.0,88.57142857142858,5.001,7.378914285714286
2026-07-21,100.0,90.47619047619048,5.626,8.22006081081081
2026-07-22,100.0,91.83673469387756,5.625,8.328700680272108
2026-07-23,100.0,92.85714285714286,6.25,7.7972027027027035
2026-07-24,100.0,93.65079365079366,6.251,7.779109589041096
2026-07-25,100.0,94.28571428571429,5.625,7.573054421768708
2026-07-26,100.0,94.8051948051948,5.625,7.930193103448276
2026-07-27,100.0,95.23809523809524,6.94,8.264694444444444
2026-07-28,100.0,95.6043956043956,6.25,7.513959183673469
2026-07-29,100.0,95.91836734693878,5.625,6.510425675675676
2026-07-30,97.97297297297297,96.05534105534106,5.625,6.4058947368421055
2026-07-31,100.0,96.30188223938224,5.625,8.152430769230769
2026-08-01,100.0,96.51941857824211,6.94,7.84538775510204
2026-08-02,100.0,96.71278421278421,6.751,7.939856164383562
2026-08-03,100.0,96.8857955700061,6.25,7.4774521739130435
2026-08-04,99.32432432432432,97.00772200772201,6.25,7.451921875
2026-08-05,99.32432432432432,97.1180364037507,6.94,7.976882758620689
2026-08-06,98.0,97.15812565812566,6.875,8.233530612244898
2026-08-07,100.0,97.28168541212018,6.94,8.735953642384107
2026-08-08,98.72611464968153,97.34186996368526,6.94,8.578869281045751
2026-08-09,99.35897435897436,97.42255413949682,6.251,8.445896774193548
2026-08-10,95.9731543624161,97.36680799422447,6.251,7.701846153846154
2026-08-11,99.3421052631579,97.43996715233313,6.876,8.545466666666666
2026-08-12,100.0,97.53139689689264,6.875,8.236460000000001
2026-08-13,100.0,97.61652114182739,6.875,7.448206666666667
2026-08-14,100.0,97.6959704370998,5.625,7.5132214765100676
2026-08-15,100.0,99.60073234186171,6.25,7.2357736842105265
2026-08-16,100.0,99.60073234186171,6.25,7.385918918918919
2026-08-17,77.51479289940828,98.85122543850866,6.25,7.495158878504673
2026-08-18,98.34254143646409,98.79597681972413,6.94,9.00002824858757
2026-08-19,75.0,97.9626434863908,6.25,8.809607142857143
2026-08-20,70.94972067039106,96.9943008420705,6.25,11.153330357142858
2026-08-21,100.0,96.9943008420705,6.25,10.511563953488372
2026-08-22,100.0,96.9943008420705,6.94,8.531585106382979
2026-08-23,100.0,96.9943008420705,6.94,7.792193181818181
2026-08-24,100.0,96.9943008420705,6.25,9.663941176470589
2026-08-25,100.0,96.9943008420705,6.25,10.040114285714285
2026-08-26,100.0,96.9943008420705,6.25,10.72066875
2026-08-27,100.0,96.9943008420705,5.625,11.863244897959182
2026-08-28,100.0,96.9943008420705,5.625,11.531131034482758
2026-08-29,100.0,97.06186840963805,5.625,10.954216216216215
2026-08-30,99.32885906040269,97.03949704498481,5.625,7.8193809523809525
2026-08-31,91.83673469387756,96.7673882014474,5.625,9.851598639455784
2026-09-01,95.9731543624161,96.63316001352794,5.625,8.519604026845638
2026-09-02,96.03960396039604,96.50114681220779,5.625,9.74098
