timestamp_utc,overall_available,cheapest_price,vast_available,vast_price,lambda_available,lambda_price,runpod_available,runpod_price
2026-07-16 00:20:01,1,1.05,1,1.05,,,,
2026-07-16 00:33:36,1,1.05,1,1.05,0,,1,1.99
